11FB2,addi
11FB4,sd
11FB6,sd
11FB8,addi
11FBA,mv
11FBC,sd
11FC0,sw
11FC4,auipc
11FC8,jalr
11FE8,addi
11FEA,sd
11FEC,sd
11FEE,addi
11FF0,mv
11FF2,sd
11FF6,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12004,j
12008,ld
1200C,slli
12010,addi
12014,add
12016,auipc
1201A,jalr
11F9E,addi
11FA0,sd
11FA2,sd
11FA4,addi
11FA6,sd
11FAA,ld
11FAC,ld
11FAE,addi
11FB0,ret
1201E,j
12022,ld
12026,addi
12028,sd
1202C,j
11FFA,ld
11FFE,addi
12000,bgtu
12030,lui
12034,addi
12038,sd
1203C,ld
1203E,ld
12040,addi
12042,ret
11FCC,auipc
11FD0,jalr
12044,addi
12046,sd
12048,sd
1204A,addi
1204C,lui
12050,addi
12054,auipc
12058,jalr
1205C,lui
12060,addi
12064,addi
12066,auipc
1206A,jalr
1206E,lui
12072,addi
12076,auipc
1207A,jalr
1207E,lui
12082,addi
12086,auipc
1208A,jalr
1208E,lui
12092,addi
12096,auipc
1209A,jalr
1209E,addi
120A2,sd
120A6,j
120AA,lui
120AE,lw
120B2,mv
120B4,bne
120B8,j
120BC,lui
120C0,ld
120C4,lw
120C6,addiw
120CA,addi
120CC,sw
120CE,mv
120D0,ble
120D4,j
120D8,lui
120DC,ld
120E0,auipc
120E4,jalr
120E8,sd
120EC,j
1210C,ld
12110,sd
12114,j
12130,ld
12134,sw
12138,lw
1213C,addi
1213E,beq
12142,j
12146,lw
1214A,addi
1214C,bne
12158,lw
1215C,lui
1215E,auipc
12162,jalr
1236E,addi
12370,sd
12372,sd
12374,addi
12376,sw
1237A,sd
1237E,lw
12382,ld
12386,auipc
1238A,jalr
1239A,addi
1239C,sd
1239E,sd
123A0,addi
123A2,sw
123A6,sd
123AA,lw
123AE,mv
123B0,bgt
123B4,j
123B8,lw
123BC,lui
123C0,lw
123C4,bgt
123D6,auipc
123DA,jalr
123DE,lw
123E2,slli
123E4,add
123E6,ld
123E8,ld
123EC,and
123EE,sd
123F2,j
123F6,ld
123FA,sext.w
123FC,ld
123FE,ld
12400,addi
12402,ret
1238E,snez
12392,ld
12394,ld
12396,addi
12398,ret
12166,mv
12168,beq
12174,lw
12178,addi
1217C,bne
12192,lw
12196,addi
1219A,bne
121B0,lw
121B4,lui
121B6,auipc
121BA,jalr
1236E,addi
