,anomaly_recall,false_positives_ratio,anomaly_count,detected_anomaly_count,non_anomaly_count,false_positives,training_time_ms,testing_time_ms,method_main_name,window_size,args_str
"N-grams (window_size=3, )",1.0,0.0,100,100,60819,0,0,852,N-grams,3,
"N-grams (window_size=6, )",1.0,0.0,100,100,60226,0,0,988,N-grams,6,
"N-grams (window_size=12, )",1.0,0.0,100,100,59049,0,0,1274,N-grams,12,
"N-grams (window_size=25, )",1.0,0.0,100,100,56541,0,0,1927,N-grams,25,
"N-grams (window_size=50, )",1.0,0.0,100,100,51892,0,0,3457,N-grams,50,
"N-grams (window_size=75, )",1.0,0.0,100,100,47584,0,0,5682,N-grams,75,
"N-grams (window_size=100, )",1.0,0.0,100,100,43520,0,0,8787,N-grams,100,
"N-grams (window_size=125, )",1.0,0.0,100,100,39685,0,0,12044,N-grams,125,
"N-grams (window_size=150, )",1.0,0.0,100,100,36078,0,0,16231,N-grams,150,
"Isolation forest (window_size=3, contamination=0.001)",0.62,0.0015784541015143295,100,62,60819,96,66,1849,Isolation forest,3,
"Isolation forest (window_size=6, contamination=0.001)",0.93,0.0015773918241291137,100,93,60226,95,62,1998,Isolation forest,6,
"Isolation forest (window_size=12, contamination=0.001)",1.0,0.0015918982539924469,100,100,59049,94,65,2069,Isolation forest,12,
"Isolation forest (window_size=25, contamination=0.001)",0.99,0.001591765267681859,100,99,56541,90,70,2364,Isolation forest,25,
"Isolation forest (window_size=50, contamination=0.001)",0.84,0.011119247668234024,100,84,51892,577,87,2800,Isolation forest,50,
"Isolation forest (window_size=75, contamination=0.001)",0.69,0.003383490248823134,100,69,47584,161,162,3303,Isolation forest,75,
"Isolation forest (window_size=100, contamination=0.001)",0.86,0.0021599264705882354,100,86,43520,94,352,3701,Isolation forest,100,
"Isolation forest (window_size=125, contamination=0.001)",0.7,0.0017890890764772583,100,70,39685,71,445,3862,Isolation forest,125,
"Isolation forest (window_size=150, contamination=0.001)",0.79,0.0009424025722046677,100,79,36078,34,648,4466,Isolation forest,150,
"One class SVM (window_size=3, kernel=sigmoid)",0.99,0.03686348016244923,100,99,60819,2242,0,18,One class SVM,3,
"One class SVM (window_size=6, kernel=sigmoid)",0.87,0.023760502108723807,100,87,60226,1431,0,20,One class SVM,6,
"One class SVM (window_size=12, kernel=sigmoid)",0.85,0.01412386323223086,100,85,59049,834,0,24,One class SVM,12,
"One class SVM (window_size=25, kernel=sigmoid)",0.85,0.014432005093648857,100,85,56541,816,0,30,One class SVM,25,
"One class SVM (window_size=50, kernel=sigmoid)",0.88,0.011639559084251908,100,88,51892,604,0,35,One class SVM,50,
"One class SVM (window_size=75, kernel=sigmoid)",0.84,0.0164130800268998,100,84,47584,781,2,75,One class SVM,75,
"One class SVM (window_size=100, kernel=sigmoid)",0.8,0.005376838235294118,100,80,43520,234,5,105,One class SVM,100,
"One class SVM (window_size=125, kernel=sigmoid)",0.82,0.011515686027466297,100,82,39685,457,7,113,One class SVM,125,
"One class SVM (window_size=150, kernel=sigmoid)",0.79,0.011087089084760795,100,79,36078,400,14,151,One class SVM,150,
"Local outlier factor (window_size=3, contamination=0.001)",0.0,0.0,100,0,60819,0,1,125,Local outlier factor,3,
"Local outlier factor (window_size=6, contamination=0.001)",0.01,0.0,100,1,60226,0,1,139,Local outlier factor,6,
"Local outlier factor (window_size=12, contamination=0.001)",0.87,0.0,100,87,59049,0,1,162,Local outlier factor,12,
"Local outlier factor (window_size=25, contamination=0.001)",0.95,0.0,100,95,56541,0,2,212,Local outlier factor,25,
"Local outlier factor (window_size=50, contamination=0.001)",1.0,0.0,100,100,51892,0,4,503,Local outlier factor,50,
"Local outlier factor (window_size=75, contamination=0.001)",0.99,0.0,100,99,47584,0,16,879,Local outlier factor,75,
"Local outlier factor (window_size=100, contamination=0.001)",0.99,0.0,100,99,43520,0,36,1300,Local outlier factor,100,
"Local outlier factor (window_size=125, contamination=0.001)",1.0,0.0,100,100,39685,0,70,1646,Local outlier factor,125,
"Local outlier factor (window_size=150, contamination=0.001)",0.98,0.0,100,98,36078,0,116,2050,Local outlier factor,150,
